Company Name,Website,Founders,Founded Year,Business Model,Technical,stage,Latest Round,Funding Trajectory,Investors,Valuation
Terra AI,https://www.terraai.com/,"John Mern (CEO, Stanford PhD - SISL), Anthony Corso (CTO, Stanford PhD)",2023,Enterprise B2B AI platform (SaaS) — sold via direct sales + strategic partnerships to mining & energy majors,"Diffusion models / generative models (确认,多源).生成 ""millions of possible 3D subsurface models conditioned to match the signal"" + ""reasoning agent"" for campaign planning。数据 = 真实多模态:drill cores + geophysics + geochemistry(合成数据仅作为模型输出,非训练输入)",多阶段:Target Screening (greenfield/undercover) + Survey Design + Dynamic Drilling (resource definition),Seed · $3.39M · Oct 2023 (publicly announced 2025 when emerging from stealth),"NSF grants → Seed $3.39M (2023, led by Khosla Ventures) → Rio Tinto strategic investment (2025) → Series A upcoming (announced intent, not closed)","Khosla Ventures (lead), Rio Tinto (strategic, 2025), Storyhouse Ventures, Plug and Play, TomKat Center for Sustainability (Stanford), Climate Capital, US National Science Foundation","未公开 (Seed $3.4M 2023,Khosla 领投;无估值披露)"
TerraDX,https://www.linkedin.com/company/terradx-technologies/,"Colby Mintram (CEO, Co-founder)","2023 (Vancouver, BC, Canada)","B2B AI platform (SaaS) for mining sector — early-stage, GTM via direct deals & strategic partnerships (e.g., Battery X Metals JV)","HORIZON Deep Neural Network (DNN) + Databricks Mosaic AI 平台。数据 = 真实公开地质调查数据——Geological Survey of New South Wales (Australia, Central Lachlan Orogen) 的地球物理 + exploration data。无 diffusion / 无合成数据 / 无卫星图像","Greenfield / 区域 targeting(HORIZON 通过区域分类把 area of interest 缩 98%,在 onsite exploration 之前)",Pre-Seed · $1.5M total raised (date not publicly disclosed; per PitchBook),"Spun out of Durendal Resources Inc. → Public launch April 2024 → Pre-Seed $1.5M (Canaccord Genuity, Haywood Securities, Research Capital) → NVIDIA Inception (July 2024, non-equity accelerator)","Canaccord Genuity, Haywood Securities Inc., Research Capital","未公开 (Pre-Seed $1.5M,投资人是加拿大投行/经纪商,无估值披露)"
GeologicAI,https://www.geologicai.com/,"Grant Sanden (CEO, Co-founder), Yannai Segal (Chief Strategy Officer, Co-founder) — both University of Calgary engineering grads","2013 (originally as Enersoft, oil & gas; pivoted to mining 2021, renamed GeologicAI)","B2B hardware + software + services hybrid for mining majors — on-site core-scanning trailers (operated by GeologicAI) + AI software subscription, expanding via M&A (RMS, Lumo Analytics)","Convolutional Neural Networks (CNN) — ""trained on millions of validated mineral samples"".数据 = 真实多传感器 core scan 数据:XRF (X-ray fluorescence) + 高光谱 (SWIR + VNIR) + magnetic susceptibility + LiDAR + RGB imagery + LIBS (后续 Lumo 收购)。无 diffusion / 无合成数据 / 无卫星图像","Resource definition + characterization + production optimization(扫描已钻 cores,不做 greenfield 预测)","Series B · $44M USD / $60.5M CAD · Jul 17, 2025 (all-equity, led by Blue Earth Capital)","Bootstrapped/early grants → Series A $30M USD (Jul 2023, led by Breakthrough Energy Ventures with $20M + Export Development Canada $10M) → Series B $44M USD (Jul 2025, led by Blue Earth Capital). Total raised: ~$74M USD","Series A: Breakthrough Energy Ventures (lead, Bill Gates-backed), Export Development Canada. Series B: Blue Earth Capital (lead, Swiss impact investor), BHP Ventures, Rio Tinto, Breakthrough Energy Ventures (follow-on), other undisclosed returning investors",未公开 (Series B $44M USD Jul 2025 — BetaKit 明确报道 Segal declined to disclose valuation)
Datarock (IMDEX),https://www.imdex.com/software/datarock,"Liam Webb (Co-founder & CEO, geophysicist, U Tasmania BSc Hons,前 MMG/Minerals & Metals Group), Brenton Crawford (Chief Geoscientist & Chief Technologist, Monash BSc Hons,前 MMG/Solve Geosolutions)。Datarock 由两家咨询公司 (Solve Geosolutions + Dius) JV 而来,founders 来自 Solve","2018 (Melbourne, Victoria, Australia, 31 Queen Street)","Wholly-owned AI/geoscience software subsidiary of IMDEX Limited (ASX:IMD) — production-ready, explainable AI core/chip imagery analytics + Applied Science consulting; ~64 employees / $1.8M ARR independently, now consolidated into IMDEX's Digital Earth Knowledge portfolio (alongside aiSIRIS, EarthNET, Krux Analytics, HUB-IQ); represents IMDEX's M&A-driven consolidation strategy in AI mining tech","Computer vision / image segmentation——CNN-based (Detectron2 framework on PyTorch),具体含 ResNet34-based mask models,instance + semantic segmentation,OCR。数据 = 真实 core photography (RGB) + airborne + satellite data;expert annotations 监督训练(177+ 人工标注 image tiles 等)。无 diffusion claim",多阶段:exploration + resource definition + production(全 mining cycle),"⚠️ 不适用——已被 IMDEX 100% 收购,$0 outside funding rounds。最近事件:Feb 1, 2026 IMDEX 完成剩余 49% 股权收购 ~A$31M (USD $21.5M),实现 100% 持股","2018: Solve+Dius JV 起步 → Nov 2021: IMDEX 收购初始 30% 股权(A$5.5M)→ Nov 2021-July 2024: 增持至 51% (incremental investments) → Feb 1, 2026: 收购剩余 49% 完成 100% 持股(A$31M)。累计 IMDEX 支付:估约 A$60M+","⚠️ IMDEX Limited (ASX:IMD) — sole owner。IMDEX 是 Perth 总部、1980 年成立的 ASX 上市公司,CEO Paul House。MD/CEO 之外 Datarock 已无外部股东","隐含 ~A$63M USD ~$45M(IMDEX 2026/2/1 以 A$31M 收购剩余 49%,implied 100% 估值 ~A$63M / ~$45M USD)— acquisition-implied,不是市场估值"
4POINT (GEOPHYSICAL AI),https://4point.ai/,"Cody Zazulak (Co-Founder & CEO, MIT Professional Education - Applied Data Science), Jordan Zazulak (Co-Founder & CTO)",2024,"Pre-Seed AI/ML predictive ore mapping platform — GTM via government procurement (DoE, KSA) + accelerators (Techstars, CDL, Google for Startups); possible hybrid SaaS + royalty/success-fee model","GNN-Hybrid (Graph Neural Networks) + Reinforcement Learning (RL) + Physics-Informed Inversion(明确多技术堆叠).SIIM = Spatially Informed Intelligence Model. 输出 ""physics-informed realizations"" with uncertainty volumes。数据类型未明确公开披露(措辞暗示消费 real geophysics + drill data,但官方未明示)",多阶段:Target Screening (greenfield) + Survey Design + Drill Prioritization,Pre-Seed · amount not publicly disclosed · 2024 (Techstars FW24 cohort),"Pre-Seed (2024, via Techstars FW24 LA accelerator, JPM-sponsored cohort) — that's the only round on record","Techstars (Techstars LA Fall/Winter 2024 cohort, lead), Google for Startups Accelerator Canada, J.P. Morgan (sponsor of the Techstars LA cohort). Website also lists Spatial Capital and ID3 Ventures as investors (not on Crunchbase/PitchBook) ","未公开 (Pre-Seed,金额未披露)"
VERAI,https://ver-ai.com/,"Yair Frastai (CEO, Co-Founder, Board Director), Amitai Axelrod (COO, Co-Founder, Board Director)",2020,"B2B AI-driven mineral asset portfolio generator — uses proprietary AI Discovery Platform to identify concealed deposits, owns/optionizes mineral licenses, monetizes via equity stakes + royalties through JVs with explorers/developers (not a SaaS vendor)","AI/ML + ""Defense Intelligence search & find methodologies""(创始人背景).""AI Search Profiles"" library, trained on 不同类的 economic orebodies + geological setting。数据 = 真实多模态地球物理:magnetic + gravimetric + electromagnetic + seismic.无 diffusion claim / 无具体架构披露 / 无合成数据(明确表述 ""pure machine learning"")","Greenfield / concealed deposits in covered terrains(明确不做 brownfield,聚焦""覆盖层下未发现的""deposit)","Series B · $24M (first closing) · Feb 26, 2025 (led by Insight Partners)","Seed/Series A 等早期轮次(2020-2023,具体未完全披露)→ Series B $24M first closing (Feb 2025, Insight Partners lead)。总融资 ~$39.4-39.6M (per PitchBook & CBInsights)","Insight Partners (Series B lead, Jeff Horing 进董事会), Blumberg Capital (Stanton Green 在董事会), Chrysalix Venture Capital (Charles Haythornthwaite 在董事会), Orion Industrial Ventures / Orion Resource Partners (OIV), funds advised by T. Rowe Price Associates","未公开 (Series B first closing $24M Feb 2025,Insight Partners 领投;总融资 $39.6M;无公开估值)"
Fleet Space Technologies Pty Ltd,https://www.fleetspace.com/,"Flavia Tata Nardini (CEO & Co-Founder, 前 European Space Agency propulsion engineer), Matt Pearson (CXO & Co-Founder) Dr. Hemant Chaurasia (CTO)","2015 (Adelaide, South Australia)","Vertically-integrated exploration-as-a-service platform — proprietary LEO satellite network + smart seismic sensors (Geode) + multimodal AI (ExoSphere); end-to-end service delivery model (not SaaS); Series D $100M @ $525M valuation, 130+ employees globally, customers include Rio Tinto / Barrick Gold / Ma'aden; vertical moat unmatched in cohort","Multimodal AI foundation model(公司称 ""world-first multimodal foundation model for critical mineral discovery"").建设中:Full Waveform Inversion (FWI) 加速 by Fourier Neural Operators (FNO) — 声称 100× 快于传统方法。数据 = 真实多物理:3D Ambient Noise Tomography (ANT) + Magnetotelluric (MT) + Gravity + HVSR + Active Seismic + IP + 钻探数据,通过自家 Geode 传感器 + LEO 卫星 telemetry 采集.无 diffusion 声明;卫星用于数据传输不是成像",多阶段:重点 pre-drill targeting + survey + 全 exploration lifecycle,"Series D · USD $100M (A$150M) · Dec 11-12, 2024 · at USD $525M (A$800M+) valuation (led by Teachers' Venture Growth)","早期 Seed/A/B (具体未完全披露) → Series C A$50M (May 2023, led by Blackbird Ventures) → Series D A$150M (Dec 2024, led by TVG) at A$800M+ valuation (估值 19 个月翻倍)","Series D Lead: Teachers' Venture Growth (TVG, Ontario Teachers' Pension Plan growth arm)。Returning investors: Blackbird Ventures (Australia, 之前 Series C lead), Hostplus (Australian superannuation), Horizons Ventures (Hong Kong, Li Ka-shing 旗下), Artesian Venture Partners (Australia), Alumni Ventures (US)。Earlier: Grok Ventures (Mike Cannon-Brookes 的家族办公室)","✅ USD $525M (A$800M+)(Series D Dec 11-12, 2024 — 唯一一家公开估值)"
MINERAL FORECAST,https://www.mineralforecast.com,"Javier Muñoz González (CEO & Co-Founder, civil engineer, MPA from Harvard Kennedy School), Arturo Rochefort Rojas (COO & Co-Founder, civil engineer)。CTO Arturo Tagle 非 founder","2014 (Santiago, Chile)","B2B SaaS for mining & exploration — most product-mature in the cohort (public 3-tier pricing, full SaaS GTM motion, named customers like First Majestic / SQM); deep LATAM lock-in (Chile + Peru + Mexico) via 10-year operating history and local relationships","多模型 ML 方法(无单一架构 claim) — supervised 学习 (e.g. 预测铜品位,用 drillhole data 训练) + unsupervised 学习 (识别 alteration zones)。数据 = 真实多源:satellite imagery + geochemical surveys + drilling logs + geophysics + 公开 geological data.无 diffusion / 无 foundation model claim","明确多阶段:greenfield (claim staking) + brownfield + 已有矿场优化(""supports each greenfield and brownfield drilling target"")","$20K Seed (Techstars Boston F23 cohort, Sep 12, 2023) ⚠️ 这只是 Techstars 标准 cohort 投资;另有 ~$3.3M 来自其他投资人,具体轮次未明确披露","Harvard Innovation Labs incubation → Harvard Venture Incubation Program → Launch Lab X → Techstars Boston F23 ($20K, Sep 2023) → 后续 unattributed VC 轮次 → 总融资 $3.31-3.32M (PitchBook / CBInsights)","Techstars (Boston F23), Alumni Ventures, Spider Capital Partners, Launch Lab X, Harvard Venture Incubation Program + 4 家未公开投资人 (CBInsights / PitchBook 列示共 9 家投资人)",未公开 (总融资 ~$3.31M;无估值披露)
MATERIAL DIFFERENCE,https://materialdifference.earth/,"Gabriel Yoong (Cambridge University mechanical engineer + Imperial College London 教育背景,London-based), Luke Cullen (Geophysicist, PhD in AI from University of Cambridge, Cambridge-based)。两人 LinkedIn 现在都标 ""Stealth""","2024-2025 (Founders Factory + Rio Tinto 2026 cohort 公开宣布日期 March 31, 2026)","Stealth-mode Pre-Seed startup — uncertainty-aware + explainable AI for critical mineral exploration; backed by Entrepreneurs First (talent investor) + Founders Factory/Rio Tinto accelerator; 2 founders, recruiting founding engineer, no public product yet","公开声明的差异化点 = uncertainty quantification + explainable AI + value-of-information(决策论);具体 ML 架构未公开(不是 diffusion,也无 GNN / foundation model claim — 仍处 stealth)","Resource delineation + ore body knowledge(措辞暗示 brownfield / resource definition 阶段,而非纯 greenfield)","Pre-Seed via Entrepreneurs First (EF) — 标准 EF talent investment, 金额未单独披露 (EF 通常 £100K 投 ~10% 股权)","EF Pre-Seed (talent investor, 金额未公开) → Founders Factory + Rio Tinto Mining Tech Accelerator 入选 (March 2026 cohort,公开宣布 March 31, 2026)","Entrepreneurs First (EF) — London-based ""talent investor"",在公司组建前投资创始人,经典 deal $100K for ~10%。Founders Factory + Rio Tinto 加速器(2026 春季 cohort, 6 家公司之一)— 非 traditional VC,但提供资金 + Rio Tinto operational pilot access",未公开(Pre-Seed via Entrepreneurs First — EF 标准 ~£100K;金额 + 估值都未公开披露)
STRATUM AI,https://stratum.gs/,"Farzi Yusufali (CEO, Co-founder, BASc Nanotechnology Engineering), Danial Hasan (CTO, Co-founder, BASc Machine Intelligence), Daniel Mogilny (Co-founder) ","2019(Toronto, Canada)","B2B AI resource modeling SaaS + Forward Deployed Engineer services for production-stage mines — Palantir-style GTM (embed engineers + custom deployment), funded minimally via YC seed but operating at unusual scale (18 mines globally; funding history likely incomplete)","Deep Learning (per Mining Beacon: ""proprietary Machine Learning technology (Deep Learning)""). SAIGE = Stratum AI Geospatial Estimator. 输出 block models (resource + grade control). 数据 = 真实 mine site 数据:diamond/RC drillholes + grade control + blasthole samples + rock-chip samples.无 diffusion / 无合成数据 / 无卫星图像",Production-stage mines + brownfield exploration(明确 NOT greenfield — 这是核心定位差异),"Seed · $150K · Aug 26, 2020 (led by Y Combinator)",Seed undisclosed (Jun 2019) → YC Seed $150K (Aug 2020) → 未公开后续融资轮次。总公开融资仅 $150K,"Y Combinator (lead, S20 batch),Builders VC, Two Small Fish Ventures, Soma Capital, J Seventeen Capital (1 未公开投资人,共 6 家机构投资人 per Tracxn)",未公开 (YC 公开 $150K seed;其余融资未在公开数据库;无估值披露)
